Move,Orientation,Step,DTM
dash-10,left,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,left,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,left,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,left,6,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,left,7,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,left,8,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,left,9,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,left,10,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-10,right,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,2,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,6,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,7,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,8,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,9,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-10,right,10,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,left,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,2,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,6,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,7,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,8,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,9,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,10,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,11,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,12,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,13,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,14,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,15,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,16,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,17,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,18,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,19,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,20,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,21,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,22,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,23,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,24,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,left,25,0:0:0:0:0:0:0:0:0:0:0:0:0:0:50:128:128:128
dash-25,right,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,2,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,6,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,7,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,8,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,9,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,10,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,11,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,12,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,13,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,14,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,15,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,16,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,17,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,18,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,19,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,20,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,21,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,22,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,23,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,24,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
dash-25,right,25,0:0:0:0:0:0:0:0:0:0:0:0:0:0:205:128:128:128
walk-25,left,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,2,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,6,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,7,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,8,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,9,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,10,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,11,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,12,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,13,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,14,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,15,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,16,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,17,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,18,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,19,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,20,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,21,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,22,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,23,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,24,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,left,25,0:0:0:0:0:0:0:0:0:0:0:0:0:0:90:128:128:128
walk-25,right,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,2,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,3,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,4,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,5,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,6,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,7,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,8,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,9,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,10,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,11,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,12,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,13,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,14,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,15,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,16,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,17,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,18,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,19,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,20,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,21,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,22,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,23,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,24,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
walk-25,right,25,0:0:0:0:0:0:0:0:0:0:0:0:0:0:165:128:128:128
